time value latency
2026-04-30-10 customer-A 231
2026-04-30-10 --ALL-- 231
2026-04-30-10 customer-A 296
2026-04-30-10 --ALL-- 296
2026-04-30-10 customer-C 141
2026-04-30-10 --ALL-- 141
2026-04-30-10 customer-C 105
2026-04-30-10 --ALL-- 105
2026-04-30-10 customer-A 30
2026-04-30-10 --ALL-- 30
2026-04-30-10 customer-A 25
2026-04-30-10 --ALL-- 25
2026-04-30-10 customer-C 82
2026-04-30-10 --ALL-- 82
2026-04-30-10 customer-B 80
2026-04-30-10 --ALL-- 80
2026-04-30-10 customer-C 386
2026-04-30-10 --ALL-- 386
2026-04-30-10 customer-C 120
2026-04-30-10 --ALL-- 120
2026-04-30-10 customer-A 53
2026-04-30-10 --ALL-- 53
2026-04-30-10 customer-B 24
2026-04-30-10 --ALL-- 24
2026-04-30-10 customer-C 17
2026-04-30-10 --ALL-- 17
2026-04-30-10 customer-A 242
2026-04-30-10 --ALL-- 242
2026-04-30-10 customer-A 5
2026-04-30-10 --ALL-- 5
2026-04-30-10 customer-A 4
2026-04-30-10 --ALL-- 4
2026-04-30-10 customer-A 7
2026-04-30-10 --ALL-- 7
2026-04-30-10 customer-A 4
2026-04-30-10 --ALL-- 4
2026-04-30-10 customer-A 3
2026-04-30-10 --ALL-- 3
2026-04-30-10 customer-A 4
2026-04-30-10 --ALL-- 4
2026-04-30-10 customer-A 3
2026-04-30-10 --ALL-- 3
2026-04-30-10 customer-A 3
2026-04-30-10 --ALL-- 3
2026-04-30-10 customer-A 37
2026-04-30-10 --ALL-- 37
2026-04-30-10 customer-A 8
2026-04-30-10 --ALL-- 8
2026-04-30-10 customer-A 232
2026-04-30-10 --ALL-- 232
2026-04-30-10 customer-A 972
2026-04-30-10 --ALL-- 972
2026-04-30-10 customer-A 143
2026-04-30-10 --ALL-- 143
2026-04-30-10 customer-A 728
2026-04-30-10 --ALL-- 728
2026-04-30-10 customer-A 75
2026-04-30-10 --ALL-- 75
2026-04-30-10 customer-A 543
2026-04-30-10 --ALL-- 543
2026-04-30-10 customer-A 39
2026-04-30-10 --ALL-- 39
2026-04-30-10 customer-A 437
2026-04-30-10 --ALL-- 437
2026-04-30-10 customer-E 26
2026-04-30-10 --ALL-- 26
2026-04-30-10 customer-A 322
2026-04-30-10 --ALL-- 322
2026-04-30-10 customer-D 25
2026-04-30-10 --ALL-- 25
2026-04-30-10 customer-A 585
2026-04-30-10 --ALL-- 585
2026-04-30-10 customer-A 190
2026-04-30-10 --ALL-- 190
2026-04-30-10 customer-A 18
2026-04-30-10 --ALL-- 18
2026-04-30-10 customer-A 133
2026-04-30-10 --ALL-- 133
2026-04-30-10 customer-A 35
2026-04-30-10 --ALL-- 35
2026-04-30-10 customer-C 22
2026-04-30-10 --ALL-- 22
2026-04-30-10 customer-D 57
2026-04-30-10 --ALL-- 57
2026-04-30-10 customer-D 104
2026-04-30-10 --ALL-- 104
2026-04-30-10 customer-D 354
2026-04-30-10 --ALL-- 354
2026-04-30-10 customer-A 23
2026-04-30-10 --ALL-- 23
2026-04-30-10 customer-A 264
2026-04-30-10 --ALL-- 264
2026-04-30-10 customer-C 29
2026-04-30-10 --ALL-- 29
2026-04-30-10 customer-A 28
2026-04-30-10 --ALL-- 28
2026-04-30-10 customer-B 4
2026-04-30-10 --ALL-- 4
2026-04-30-10 customer-B 4
2026-04-30-10 --ALL-- 4
2026-04-30-10 customer-D 26
2026-04-30-10 --ALL-- 26
2026-04-30-10 customer-A 26
2026-04-30-10 --ALL-- 26
2026-04-30-10 customer-A 95
2026-04-30-10 --ALL-- 95
2026-04-30-10 customer-A 455
2026-04-30-10 --ALL-- 455
2026-04-30-10 customer-A 1503
2026-04-30-10 --ALL-- 1503
2026-04-30-10 customer-A 466
2026-04-30-10 --ALL-- 466
2026-04-30-10 customer-C 218
2026-04-30-10 --ALL-- 218
2026-04-30-10 customer-C 49
2026-04-30-10 --ALL-- 49
2026-04-30-10 customer-C 81
2026-04-30-10 --ALL-- 81
2026-04-30-10 customer-A 61
2026-04-30-10 --ALL-- 61
2026-04-30-10 customer-A 588
2026-04-30-10 --ALL-- 588
2026-04-30-10 customer-C 193
2026-04-30-10 --ALL-- 193
2026-04-30-10 customer-B 25
2026-04-30-10 --ALL-- 25
2026-04-30-10 customer-A 28
2026-04-30-10 --ALL-- 28
2026-04-30-10 customer-E 7
2026-04-30-10 --ALL-- 7
2026-04-30-10 customer-D 117
2026-04-30-10 --ALL-- 117
2026-04-30-10 customer-A 79
2026-04-30-10 --ALL-- 79
2026-04-30-10 customer-D 312
2026-04-30-10 --ALL-- 312
2026-04-30-10 customer-B 739
2026-04-30-10 --ALL-- 739
2026-04-30-10 customer-C 28
2026-04-30-10 --ALL-- 28
2026-04-30-10 customer-A 101
2026-04-30-10 --ALL-- 101
2026-04-30-10 customer-B 57
2026-04-30-10 --ALL-- 57
2026-04-30-10 customer-B 58
2026-04-30-10 --ALL-- 58
2026-04-30-10 customer-C 72
2026-04-30-10 --ALL-- 72
2026-04-30-10 customer-C 88
2026-04-30-10 --ALL-- 88
2026-04-30-10 customer-C 199
2026-04-30-10 --ALL-- 199
2026-04-30-10 customer-A 477
2026-04-30-10 --ALL-- 477
2026-04-30-10 customer-C 56
2026-04-30-10 --ALL-- 56
2026-04-30-10 customer-B 34
2026-04-30-10 --ALL-- 34
2026-04-30-10 customer-A 82
2026-04-30-10 --ALL-- 82
2026-04-30-10 customer-B 18
2026-04-30-10 --ALL-- 18
2026-04-30-10 customer-C 140
2026-04-30-10 --ALL-- 140
2026-04-30-10 customer-A 691
2026-04-30-10 --ALL-- 691
2026-04-30-10 customer-C 272
2026-04-30-10 --ALL-- 272
2026-04-30-10 customer-A 120
2026-04-30-10 --ALL-- 120
2026-04-30-10 customer-A 137
2026-04-30-10 --ALL-- 137
2026-04-30-10 customer-A 244
2026-04-30-10 --ALL-- 244
2026-04-30-10 customer-A 200
2026-04-30-10 --ALL-- 200
2026-04-30-10 customer-A 1053
2026-04-30-10 --ALL-- 1053
2026-04-30-10 customer-A 97
2026-04-30-10 --ALL-- 97
2026-04-30-10 customer-A 51
2026-04-30-10 --ALL-- 51
2026-04-30-10 customer-A 44
2026-04-30-10 --ALL-- 44
2026-04-30-10 customer-A 21
2026-04-30-10 --ALL-- 21
2026-04-30-10 customer-A 261
2026-04-30-10 --ALL-- 261
2026-04-30-10 customer-A 234
2026-04-30-10 --ALL-- 234
2026-04-30-10 customer-A 255
2026-04-30-10 --ALL-- 255
2026-04-30-10 customer-A 630
2026-04-30-10 --ALL-- 630
2026-04-30-10 customer-B 306
2026-04-30-10 --ALL-- 306
2026-04-30-10 customer-A 474
2026-04-30-10 --ALL-- 474
2026-04-30-10 customer-C 96
2026-04-30-10 --ALL-- 96
2026-04-30-10 customer-A 25
2026-04-30-10 --ALL-- 25
2026-04-30-10 customer-A 701
2026-04-30-10 --ALL-- 701
2026-04-30-10 customer-A 88
2026-04-30-10 --ALL-- 88
2026-04-30-10 customer-C 95
2026-04-30-10 --ALL-- 95
2026-04-30-10 customer-C 146
2026-04-30-10 --ALL-- 146
2026-04-30-10 customer-C 25
2026-04-30-10 --ALL-- 25
2026-04-30-10 customer-A 249
2026-04-30-10 --ALL-- 249
2026-04-30-10 customer-A 231
2026-04-30-10 --ALL-- 231
2026-04-30-10 customer-A 69
2026-04-30-10 --ALL-- 69
2026-04-30-10 customer-A 173
2026-04-30-10 --ALL-- 173
2026-04-30-10 customer-A 189
2026-04-30-10 --ALL-- 189
2026-04-30-10 customer-A 2250
2026-04-30-10 --ALL-- 2250
2026-04-30-10 customer-A 30
2026-04-30-10 --ALL-- 30
2026-04-30-10 customer-A 830
2026-04-30-10 --ALL-- 830
2026-04-30-10 customer-A 95
2026-04-30-10 --ALL-- 95
2026-04-30-10 customer-A 266
2026-04-30-10 --ALL-- 266
2026-04-30-10 customer-A 350
2026-04-30-10 --ALL-- 350
2026-04-30-10 customer-A 28
2026-04-30-10 --ALL-- 28
2026-04-30-10 customer-C 25
2026-04-30-10 --ALL-- 25
2026-04-30-10 customer-A 390
2026-04-30-10 --ALL-- 390
2026-04-30-10 customer-A 335
2026-04-30-10 --ALL-- 335
2026-04-30-10 customer-A 1107
2026-04-30-10 --ALL-- 1107
2026-04-30-10 customer-C 69
2026-04-30-10 --ALL-- 69
2026-04-30-10 customer-A 42
2026-04-30-10 --ALL-- 42
2026-04-30-10 customer-A 84
2026-04-30-10 --ALL-- 84
2026-04-30-10 customer-C 138
2026-04-30-10 --ALL-- 138
2026-04-30-10 customer-A 40
2026-04-30-10 --ALL-- 40
2026-04-30-10 customer-A 101
2026-04-30-10 --ALL-- 101
2026-04-30-10 customer-A 83
2026-04-30-10 --ALL-- 83
2026-04-30-10 customer-A 124
2026-04-30-10 --ALL-- 124
2026-04-30-10 customer-A 163
2026-04-30-10 --ALL-- 163
2026-04-30-10 customer-A 56
2026-04-30-10 --ALL-- 56
2026-04-30-10 customer-A 56
2026-04-30-10 --ALL-- 56
2026-04-30-10 customer-A 34
2026-04-30-10 --ALL-- 34
2026-04-30-10 customer-C 100
2026-04-30-10 --ALL-- 100
2026-04-30-10 customer-C 559
2026-04-30-10 --ALL-- 559
2026-04-30-10 customer-C 70
2026-04-30-10 --ALL-- 70
2026-04-30-10 customer-A 699
2026-04-30-10 --ALL-- 699
2026-04-30-10 customer-A 31
2026-04-30-10 --ALL-- 31
2026-04-30-10 customer-B 79
2026-04-30-10 --ALL-- 79
2026-04-30-10 customer-B 26
2026-04-30-10 --ALL-- 26
2026-04-30-10 customer-A 49
2026-04-30-10 --ALL-- 49
2026-04-30-10 customer-A 117
2026-04-30-10 --ALL-- 117
2026-04-30-10 customer-A 130
2026-04-30-10 --ALL-- 130
2026-04-30-10 customer-A 99
2026-04-30-10 --ALL-- 99
2026-04-30-10 customer-A 445
2026-04-30-10 --ALL-- 445
2026-04-30-10 customer-A 640
2026-04-30-10 --ALL-- 640
2026-04-30-10 customer-E 57
2026-04-30-10 --ALL-- 57
2026-04-30-10 customer-A 106
2026-04-30-10 --ALL-- 106
2026-04-30-10 customer-E 77
2026-04-30-10 --ALL-- 77
2026-04-30-10 customer-E 207
2026-04-30-10 --ALL-- 207
2026-04-30-10 customer-E 65
2026-04-30-10 --ALL-- 65
2026-04-30-10 customer-A 60
2026-04-30-10 --ALL-- 60
2026-04-30-10 customer-E 25
2026-04-30-10 --ALL-- 25
2026-04-30-10 customer-A 27
2026-04-30-10 --ALL-- 27
2026-04-30-10 customer-A 144
2026-04-30-10 --ALL-- 144
2026-04-30-10 customer-C 50
2026-04-30-10 --ALL-- 50
2026-04-30-10 customer-C 83
2026-04-30-10 --ALL-- 83
2026-04-30-10 customer-A 41
2026-04-30-10 --ALL-- 41
2026-04-30-10 customer-C 26
2026-04-30-10 --ALL-- 26
2026-04-30-10 customer-C 46
2026-04-30-10 --ALL-- 46
2026-04-30-10 customer-C 49
2026-04-30-10 --ALL-- 49
2026-04-30-10 customer-C 44
2026-04-30-10 --ALL-- 44
2026-04-30-10 customer-C 54
2026-04-30-10 --ALL-- 54
2026-04-30-10 customer-C 389
2026-04-30-10 --ALL-- 389
2026-04-30-10 customer-E 28
2026-04-30-10 --ALL-- 28
2026-04-30-10 customer-A 27
2026-04-30-10 --ALL-- 27
2026-04-30-10 customer-A 1
2026-04-30-10 --ALL-- 1
2026-04-30-10 customer-A 311
2026-04-30-10 --ALL-- 311
2026-04-30-10 customer-A 270
2026-04-30-10 --ALL-- 270
2026-04-30-10 customer-C 172
2026-04-30-10 --ALL-- 172
2026-04-30-10 customer-A 248
2026-04-30-10 --ALL-- 248
2026-04-30-10 customer-C 208
2026-04-30-10 --ALL-- 208
2026-04-30-10 customer-C 85
2026-04-30-10 --ALL-- 85
2026-04-30-10 customer-A 39
2026-04-30-10 --ALL-- 39
2026-04-30-10 customer-A 9
2026-04-30-10 --ALL-- 9
2026-04-30-10 customer-A 9
2026-04-30-10 --ALL-- 9
2026-04-30-10 customer-A 28
2026-04-30-10 --ALL-- 28
2026-04-30-10 customer-A 205
2026-04-30-10 --ALL-- 205
2026-04-30-10 customer-A 330
2026-04-30-10 --ALL-- 330
2026-04-30-10 customer-B 2499
2026-04-30-10 --ALL-- 2499
2026-04-30-10 customer-A 0
2026-04-30-10 --ALL-- 0
2026-04-30-10 customer-A 85
2026-04-30-10 --ALL-- 85
2026-04-30-10 customer-A 242
2026-04-30-10 --ALL-- 242
2026-04-30-10 customer-A 92
2026-04-30-10 --ALL-- 92
2026-04-30-10 customer-A 57
2026-04-30-10 --ALL-- 57
2026-04-30-10 customer-A 58
2026-04-30-10 --ALL-- 58
2026-04-30-10 customer-A 261
2026-04-30-10 --ALL-- 261
2026-04-30-10 customer-A 308
2026-04-30-10 --ALL-- 308
2026-04-30-10 customer-A 211
2026-04-30-10 --ALL-- 211
2026-04-30-10 customer-A 49
2026-04-30-10 --ALL-- 49
2026-04-30-10 customer-E 25
2026-04-30-10 --ALL-- 25
2026-04-30-10 customer-A 55
2026-04-30-10 --ALL-- 55
2026-04-30-10 customer-A 26
2026-04-30-10 --ALL-- 26
2026-04-30-10 customer-A 184
2026-04-30-10 --ALL-- 184
2026-04-30-10 customer-A 127
2026-04-30-10 --ALL-- 127
2026-04-30-10 customer-A 165
2026-04-30-10 --ALL-- 165
2026-04-30-10 customer-A 211
2026-04-30-10 --ALL-- 211
2026-04-30-10 customer-A 68
2026-04-30-10 --ALL-- 68
2026-04-30-10 customer-A 41
2026-04-30-10 --ALL-- 41
2026-04-30-10 customer-A 60
2026-04-30-10 --ALL-- 60
2026-04-30-10 customer-A 129
2026-04-30-10 --ALL-- 129
2026-04-30-10 customer-A 148
2026-04-30-10 --ALL-- 148
2026-04-30-10 customer-A 500
2026-04-30-10 --ALL-- 500
2026-04-30-10 customer-A 83
2026-04-30-10 --ALL-- 83
2026-04-30-10 customer-A 56
2026-04-30-10 --ALL-- 56
2026-04-30-10 customer-A 659
2026-04-30-10 --ALL-- 659
2026-04-30-10 customer-A 76
2026-04-30-10 --ALL-- 76
2026-04-30-10 customer-A 43
2026-04-30-10 --ALL-- 43
2026-04-30-10 customer-A 56
2026-04-30-10 --ALL-- 56
2026-04-30-10 customer-A 66
2026-04-30-10 --ALL-- 66
2026-04-30-10 customer-A 378
2026-04-30-10 --ALL-- 378
2026-04-30-10 customer-A 52
2026-04-30-10 --ALL-- 52
2026-04-30-10 customer-H 25
2026-04-30-10 --ALL-- 25
2026-04-30-10 customer-D 28
2026-04-30-10 --ALL-- 28
2026-04-30-10 customer-E 25
2026-04-30-10 --ALL-- 25
2026-04-30-10 customer-B 116
2026-04-30-10 --ALL-- 116
2026-04-30-10 customer-C 252
2026-04-30-10 --ALL-- 252
2026-04-30-10 customer-C 66
2026-04-30-10 --ALL-- 66
2026-04-30-10 customer-C 210
2026-04-30-10 --ALL-- 210
2026-04-30-10 customer-A 573
2026-04-30-10 --ALL-- 573
2026-04-30-10 customer-B 27
2026-04-30-10 --ALL-- 27
2026-04-30-10 customer-B 60
2026-04-30-10 --ALL-- 60
2026-04-30-10 customer-A 100
