time value latency
Month-1 Alpha 14.227
Month-1 Alpha 6.699
Month-1 Delta 69.921
Month-1 Alpha 6.106
Month-1 Alpha 4.552
Month-1 Delta 68.282
Month-1 Alpha 5.425
Month-1 Delta 35.127
Month-1 Delta 29.309
Month-1 Alpha 9.487
Month-1 Alpha 7.071
Month-1 Delta 28.256
Month-1 Alpha 7.249
Month-1 Alpha 13.278
Month-1 Alpha 6.922
Month-1 Alpha 16.165
Month-1 Charlie 8.129
Month-1 Charlie 5.144
Month-1 Alpha 9.758
Month-1 Alpha 4.939
Month-1 Alpha 4.356
Month-1 Charlie 9.55
Month-1 Alpha 3.101
Month-1 Alpha 1.863
Month-1 Alpha 2.158
Month-1 Alpha 5.516
Month-1 Alpha 1.988
Month-1 Alpha 3.431
Month-1 Alpha 2.169
Month-1 Alpha 23.545
Month-1 Alpha 9.452
Month-1 Alpha 15.587
Month-1 Alpha 1.843
Month-1 Alpha 3.4
Month-1 Alpha 8.515
Month-1 Alpha 13.518
Month-1 Alpha 5.01
Month-1 Echo 3.835
Month-1 Echo 1.376
Month-1 Echo 1.73
Month-1 Echo 2.443
Month-1 Echo 2.361
Month-1 Alpha 57.562
Month-1 Alpha 10.916
Month-1 Alpha 5.533
Month-1 Alpha 15.066
Month-1 Alpha 35.695
Month-1 Bravo 19.478
Month-1 Bravo 5.397
Month-1 Alpha 9.599
Month-1 Alpha 3.601
Month-1 Alpha 2.625
Month-1 Alpha 5.288
Month-1 Alpha 5.496
Month-1 Alpha 2.468
Month-1 Alpha 32.626
Month-1 Alpha 4.606
Month-1 Alpha 4.568
Month-1 Alpha 12.112
Month-1 Bravo 5.642
Month-1 Alpha 7.997
Month-1 Alpha 46.59
Month-1 Alpha 1.887
Month-1 Alpha 7.304
Month-1 Alpha 22.418
Month-1 Alpha 5.658
Month-1 Delta 15.292
Month-1 Alpha 13.186
Month-1 Alpha 6.684
Month-1 Alpha 5.029
Month-1 Alpha 3.167
Month-1 Alpha 8.372
Month-1 Alpha 5.994
Month-1 Alpha 3.063
Month-1 Alpha 6.096
Month-1 Alpha 11.294
Month-1 Alpha 10.26
Month-1 Alpha 3.608
Month-1 Alpha 3.675
Month-1 Alpha 1.921
Month-1 Alpha 2.42
Month-1 Alpha 13.244
Month-1 Alpha 20.806
Month-1 Alpha 4.304
Month-1 Alpha 6.262
Month-1 Alpha 4.674
Month-1 Alpha 4.122
Month-1 Alpha 6.484
Month-1 Alpha 6.498
Month-1 Alpha 68.541
Month-1 Bravo 5.807
Month-1 Bravo 6.626
Month-1 Alpha 30.213
Month-1 Alpha 17.473
Month-1 Alpha 45.886
Month-1 Alpha 36.594
Month-1 Alpha 7.985
Month-1 Alpha 8.356
Month-1 Alpha 8.374
Month-1 Alpha 2.412
Month-1 Alpha 1.832
Month-1 Delta 11.217
Month-1 Delta 16.739
Month-1 Alpha 4.783
Month-1 Alpha 9.932
Month-1 Alpha 32.217
Month-1 Delta 10.517
Month-1 Alpha 5.458
Month-1 Alpha 29.197
Month-1 Delta 11.196
Month-1 Alpha 7.08
Month-1 Delta 30.013
Month-1 Delta 21.196
Month-1 Delta 11.519
Month-1 Delta 12.369
Month-1 Alpha 19.323
Month-1 Alpha 12.09
Month-1 Alpha 8.955
Month-1 Delta 12.098
Month-1 Alpha 21.436
Month-1 Delta 12.146
Month-1 Delta 11.489
Month-1 Delta 17.167
Month-1 Alpha 46.191
Month-1 Alpha 17.869
Month-1 Delta 13.38
Month-1 Alpha 8.979
Month-1 Alpha 2.45
Month-1 Bravo 5.177
Month-1 Alpha 6.085
Month-1 Alpha 67.093
Month-1 Alpha 34.604
Month-1 Alpha 6.801
Month-1 Alpha 12.438
Month-1 Alpha 22.001
Month-1 Alpha 14.867
Month-1 Alpha 11.741
Month-1 Alpha 31.152
Month-1 Bravo 3.095
Month-1 Bravo 40.408
Month-1 Bravo 3.445
Month-1 Bravo 2.758
Month-1 Bravo 5.44
Month-1 Alpha 10.761
Month-1 Bravo 3.79
Month-1 Charlie 11.826
Month-1 Alpha 5.657
Month-1 Alpha 13.599
Month-1 Alpha 2.742
Month-1 Alpha 4.675
Month-1 Alpha 3.654
Month-1 Alpha 3.74
Month-1 Alpha 5.255
Month-1 Alpha 24.632
Month-1 Alpha 9.284
Month-1 Delta 38.693
Month-1 Delta 12.293
Month-1 Alpha 5.613
Month-1 Alpha 1.895
Month-1 Alpha 1.83
Month-1 Alpha 1.994
Month-1 Alpha 83.72
Month-1 Delta 11.135
Month-1 Delta 10.558
Month-1 Alpha 6.602
Month-1 Delta 9.965
Month-1 Alpha 15.028
Month-1 Alpha 3.867
Month-1 Delta 39.135
Month-1 Charlie 9.9
Month-1 Alpha 2.43
Month-1 Delta 17.782
Month-1 Charlie 3.699
Month-1 Delta 13.906
Month-1 Delta 12.18
Month-1 Delta 11.105
Month-1 Delta 11.934
Month-1 Delta 12.26
Month-1 Delta 11.183
Month-1 Delta 11.76
Month-1 Alpha 5.993
Month-1 Delta 11.946
Month-1 Delta 13.302
Month-1 Delta 12.103
Month-1 Delta 11.884
Month-1 Delta 11.593
Month-1 Delta 12.204
Month-1 Delta 11.392
Month-1 Delta 12.388
Month-1 Bravo 3.242
Month-1 Delta 11.855
Month-1 Delta 11.902
Month-1 Delta 10.892
Month-1 Alpha 11.159
Month-1 Alpha 3.089
Month-1 Alpha 9.215
Month-1 Alpha 8.286
Month-1 Alpha 47.288
Month-1 Alpha 1.896
Month-1 Alpha 45.89
Month-1 Alpha 40.555
Month-1 Alpha 22.547
Month-1 Alpha 33.074
Month-1 Alpha 30.158
